id,name,year,date,provider,provider_type,rocket,rocket_family,mission,mission_type,mission_desc,orbit,pad_name,location,country,outcome,image,url,last_updated,net
e3df2ecd-c239-472f-95e4-2b89b4f75800,Sputnik 8K74PS | Sputnik 1,1957,1957-10-04 19:28:34+00:00,Soviet Space Program,Government,Sputnik 8K74PS,Sputnik,Sputnik 1,Test Flight,First artificial satellite consisting of a 58 cm pressurized aluminium shell containing two 1 W transmitters for a total mass of 83.6 kg.,LEO,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",KAZ,Launch Successful,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/sputnik_8k74ps_image_20210830185541.jpg,https://ll.thespacedevs.com/2.2.0/launch/e3df2ecd-c239-472f-95e4-2b89b4f75800/?format=json,2024-03-17T19:17:35Z,1957-10-04T19:28:34Z
f8c9f344-a6df-4f30-873a-90fe3a7840b3,Sputnik 8K74PS | Sputnik 2,1957,1957-11-03 02:30:00+00:00,Soviet Space Program,Government,Sputnik 8K74PS,Sputnik,Sputnik 2,Test Flight,Second artificial satellite and first to carry an animal into orbit.,LEO,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",KAZ,Launch Successful,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/sputnik_8k74ps_image_20210830185541.jpg,https://ll.thespacedevs.com/2.2.0/launch/f8c9f344-a6df-4f30-873a-90fe3a7840b3/?format=json,2023-06-14T03:48:36Z,1957-11-03T02:30:00Z
535c1a09-97c8-4f96-bb64-6336d4bcb1fb,Vanguard | Vanguard,1957,1957-12-06 16:44:35+00:00,US Navy,Government,Vanguard,,Vanguard,Test Flight,Small satellite used to test the Vanguard three-stage launch vehicle.,LEO,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",USA,Launch Failure,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/vanguard_1_on_p_image_20240411114304.jpeg,https://ll.thespacedevs.com/2.2.0/launch/535c1a09-97c8-4f96-bb64-6336d4bcb1fb/?format=json,2023-06-14T17:43:00Z,1957-12-06T16:44:35Z
1b9e28d0-c531-44b0-9b37-244e62a6d3f4,Juno-I | Explorer 1,1958,1958-02-01 03:47:56+00:00,Army Ballistic Missile Agency,Government,Juno-I,Redstone,Explorer 1,Test Flight,First successfully launched American satellite. It was the first spacecraft to detect the Van Allen Radiation Belt.,LEO,Launch Complex 26A,"Cape Canaveral SFS, FL, USA",USA,Launch Successful,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/juno_i_on_the_p_image_20240411120216.jpeg,https://ll.thespacedevs.com/2.2.0/launch/1b9e28d0-c531-44b0-9b37-244e62a6d3f4/?format=json,2023-06-14T17:40:22Z,1958-02-01T03:47:56Z
48bc7deb-b2e1-46c2-ab63-0ce00fbd192b,Vanguard | Vanguard,1958,1958-02-05 07:33:00+00:00,US Navy,Government,Vanguard,,Vanguard,Test Flight,Small satellite used to test the Vanguard three-stage launch vehicle.,LEO,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",USA,Launch Failure,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/vanguard_1_on_p_image_20240411114304.jpeg,https://ll.thespacedevs.com/2.2.0/launch/48bc7deb-b2e1-46c2-ab63-0ce00fbd192b/?format=json,2023-06-14T17:42:59Z,1958-02-05T07:33:00Z
896e8af6-d256-4a5b-ab15-2f25c84e90e3,Juno-I | Explorer 2,1958,1958-03-05 18:27:57+00:00,Army Ballistic Missile Agency,Government,Juno-I,Redstone,Explorer 2,Test Flight,Small satellite similar to Explorer 1. It failed to reach orbit due to a fourth stage failure.,LEO,Launch Complex 26A,"Cape Canaveral SFS, FL, USA",USA,Launch Failure,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/juno_i_on_the_p_image_20240411120216.jpeg,https://ll.thespacedevs.com/2.2.0/launch/896e8af6-d256-4a5b-ab15-2f25c84e90e3/?format=json,2023-06-14T17:40:22Z,1958-03-05T18:27:57Z
74d39bb8-34a6-4a8b-8554-d2d3ec22aee6,Vanguard | Vanguard,1958,1958-03-17 12:15:41+00:00,US Navy,Government,Vanguard,,Vanguard,Test Flight,Small satellite used to test the Vanguard three-stage launch vehicle.,LEO,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",USA,Launch Successful,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/vanguard_1_on_p_image_20240411114304.jpeg,https://ll.thespacedevs.com/2.2.0/launch/74d39bb8-34a6-4a8b-8554-d2d3ec22aee6/?format=json,2023-06-14T17:42:59Z,1958-03-17T12:15:41Z
b4e501ff-083c-47d6-9ff0-63ec1bf035c3,Juno-I | Explorer 3,1958,1958-03-26 17:38:01+00:00,Army Ballistic Missile Agency,Government,Juno-I,Redstone,Explorer 3,Earth Science,Small satellite launched into an eccentric orbit with a cosmic ray counter and a micrometeorite detector.,Elliptical,Launch Complex 26A,"Cape Canaveral SFS, FL, USA",USA,Launch Successful,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/juno_i_on_the_p_image_20240411120216.jpeg,https://ll.thespacedevs.com/2.2.0/launch/b4e501ff-083c-47d6-9ff0-63ec1bf035c3/?format=json,2023-06-14T17:40:21Z,1958-03-26T17:38:01Z
59d2de37-4c22-495f-8718-4b22f5f34ab7,Sputnik 8A91 | D-1 1,1958,1958-04-27 07:00:35+00:00,Soviet Space Program,Government,Sputnik 8A91,Sputnik,D-1 1,Earth Science,First complex scientific satellite with 12 experiments and a total mass of1327 kg. It failed to reach orbit due to a launch vehicle failure.,LEO,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",KAZ,Launch Failure,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/sputnik_8a91_image_20210830171943.png,https://ll.thespacedevs.com/2.2.0/launch/59d2de37-4c22-495f-8718-4b22f5f34ab7/?format=json,2023-06-14T03:48:43Z,1958-04-27T07:00:35Z
de282e74-e03b-411e-9633-2d1497629893,Vanguard | Vanguard,1958,1958-04-29 02:53:00+00:00,US Navy,Government,Vanguard,,Vanguard,Test Flight,Small satellite used to test the Vanguard three-stage launch vehicle.,LEO,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",USA,Launch Failure,https://thespacedevs-prod.nyc3.digitaloceanspaces.com/media/images/vanguard_1_on_p_image_20240411114304.jpeg,https://ll.thespacedevs.com/2.2.0/launch/de282e74-e03b-411e-9633-2d1497629893/?format=json,2023-06-14T17:42:59Z,1958-04-29T02:53:00Z
